macro_id,required,best_chain,best_value,lowest_cost_equivalent,longest_accretive,pareto_count,dominated_count,exact_match
10,COMPILE -> COMPILE -> EXPAND -> EVALUATE -> SELECT -> TRANSFORM -> TEST -> CONTROL,COMPILE -> COMPILE -> EXPAND -> EVALUATE -> SELECT -> TRANSFORM -> TEST -> CONTROL,1.1,COMPILE -> COMPILE -> EXPAND -> EVALUATE -> SELECT -> TRANSFORM -> TEST -> CONTROL,COMPILE -> COMPILE -> EXPAND -> EVALUATE -> SELECT -> TRANSFORM -> TEST -> CONTROL,8,17128,True
11,COMPILE -> SPLIT -> REPRESENT -> EVALUATE -> REPRESENT,COMPILE -> SPLIT -> REPRESENT -> EVALUATE -> REPRESENT,1.25,COMPILE -> SPLIT -> REPRESENT -> EVALUATE -> REPRESENT,COMPILE -> SPLIT -> REPRESENT -> EVALUATE -> REPRESENT,5,1359,True
12,COMPILE -> EXPAND -> EVALUATE -> TRANSFORM,COMPILE -> EXPAND -> EVALUATE -> TRANSFORM,1.3,COMPILE -> EXPAND -> EVALUATE -> TRANSFORM,COMPILE -> EXPAND -> EVALUATE -> TRANSFORM,4,336,True
13,INSPECT -> COMPILE -> TRANSFORM -> TEST -> VERIFY,INSPECT -> COMPILE -> TRANSFORM -> TEST -> VERIFY,1.25,INSPECT -> COMPILE -> TRANSFORM -> TEST -> VERIFY,INSPECT -> COMPILE -> TRANSFORM -> TEST -> VERIFY,5,3335,True
14,COMPILE -> ACQUIRE -> INSPECT -> REPRESENT -> EXPAND -> COMPARE -> CHALLENGE -> INFER -> VERIFY,COMPILE -> ACQUIRE -> INSPECT -> REPRESENT -> EXPAND -> COMPARE -> CHALLENGE -> INFER -> VERIFY,1.05,COMPILE -> ACQUIRE -> INSPECT -> REPRESENT -> EXPAND -> COMPARE -> CHALLENGE -> INFER -> VERIFY,COMPILE -> ACQUIRE -> INSPECT -> REPRESENT -> EXPAND -> COMPARE -> CHALLENGE -> INFER -> VERIFY,9,28458,True
15,INSPECT -> COMPARE -> CHALLENGE -> CLOSE,INSPECT -> COMPARE -> CHALLENGE -> CLOSE,1.3,INSPECT -> COMPARE -> CHALLENGE -> CLOSE,INSPECT -> COMPARE -> CHALLENGE -> CLOSE,4,336,True
16,COMPILE -> REPRESENT -> SPLIT -> EXPAND -> EVALUATE -> TEST -> SELECT -> VERIFY,COMPILE -> REPRESENT -> SPLIT -> EXPAND -> EVALUATE -> TEST -> SELECT -> VERIFY,1.1,COMPILE -> REPRESENT -> SPLIT -> EXPAND -> EVALUATE -> TEST -> SELECT -> VERIFY,COMPILE -> REPRESENT -> SPLIT -> EXPAND -> EVALUATE -> TEST -> SELECT -> VERIFY,8,21056,True
17,ACQUIRE -> INSPECT -> COMPARE -> UPDATE -> INFER -> REPRESENT,ACQUIRE -> INSPECT -> COMPARE -> UPDATE -> INFER -> REPRESENT,1.2,ACQUIRE -> INSPECT -> COMPARE -> UPDATE -> INFER -> REPRESENT,ACQUIRE -> INSPECT -> COMPARE -> UPDATE -> INFER -> REPRESENT,6,7692,True
18,EVALUATE -> REPRESENT -> SPLIT -> INFER -> REPRESENT -> TEST -> UPDATE,EVALUATE -> REPRESENT -> SPLIT -> INFER -> REPRESENT -> TEST -> UPDATE,1.15,EVALUATE -> REPRESENT -> SPLIT -> INFER -> REPRESENT -> TEST -> UPDATE,EVALUATE -> REPRESENT -> SPLIT -> INFER -> REPRESENT -> TEST -> UPDATE,7,10763,True
19,INSPECT -> TRANSFORM -> INFER -> TEST -> UPDATE,INSPECT -> TRANSFORM -> INFER -> TEST -> UPDATE,1.25,INSPECT -> TRANSFORM -> INFER -> TEST -> UPDATE,INSPECT -> TRANSFORM -> INFER -> TEST -> UPDATE,5,3335,True
